pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
55.626,-155.956,90.0,top,D18,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
83.312,-155.956,90.0,top,D19,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
81.831,-109.982,0.0,top,D2,BAT54JFILM,SOD-323,D_SOD-323F,BAT54J,smt
85.344,-155.956,90.0,top,D20,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
60.706,-40.551001,-90.0,top,D3,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
58.166,-40.551001,-90.0,top,D4,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
81.831,-116.205,0.0,top,D5,BAT54JFILM,SOD-323,D_SOD-323F,BAT54J,smt
40.767,-164.326,90.0,top,D6,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
53.721,-164.326,90.0,top,D7,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
55.753,-164.326,90.0,top,D8,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
68.58,-164.364001,90.0,top,D9,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
77.089,-65.913,90.0,top,J1,HTSW-103-07-G-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,HD-A(Y),tht
46.228,-164.326,0.0,top,J10,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,SW ENA,tht
61.087,-164.326,0.0,top,J11,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,MODE0,tht
75.946,-164.326,0.0,top,J12,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,MODE1,tht
90.678,-164.326,0.0,top,J13,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,MODE2,tht
46.228,-155.956,0.0,top,J14,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,DIR,tht
75.946,-155.956,0.0,top,J15,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,TERM TX,tht
61.087,-155.956,0.0,top,J16,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,TERM RX,tht
90.678,-155.956,0.0,top,J17,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,SLR,tht
69.088,-65.913,90.0,top,J2,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,HD-B(Z),tht
53.074,-65.913,90.0,top,J3,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,TERM (A/B),tht
61.087,-65.913,90.0,top,J4,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,TERM (Y/Z),tht
52.374,-38.369,180.0,top,J5,1190299,"Through Hole,P=5mm",PHOENIX_1190299,TERM BLK 4POS 5mm TH,tht
86.624099,-56.387797,180.0,top,J6,2301843-2,Through Hole,CONN9_2301843-2_TEC,CONN D-SUB PLUG 9POS TH,tht
34.036,-160.147,-90.0,top,J7,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,TCVR PWR,tht
59.436,-55.88,0.0,top,J8,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,TX LED,tht
59.436,-45.72,0.0,top,J9,HTSW-103-07-F-S,"Through Hole,P=2.54mm",Samtec HTSW-103-07-F-S,RX LED,tht
49.53,-87.11,90.0,top,R1,AC0603FR-7W150KL,0603,R_0603,150K,smt
34.036,-167.386,0.0,top,R10,AC0603FR-07590RL,0603,R_0603,590R,smt
82.931,-77.609,90.0,top,R11,AC0603FR-7W10KL,0603,R_0603,10K,smt
81.8,-111.887,180.0,top,R12,AC0603FR-7W1KL,0603,R_0603,1K,smt
55.511,-52.451,0.0,top,R13,AC0603FR-07453KL,0603,R_0603,453K,smt
44.958,-96.901,-90.0,top,R14,AC0603FR-7W330RL,0603,R_0603,330R,smt
64.262,-40.501,90.0,top,R15,AC0603FR-7W1ML,0603,R_0603,1M,smt
62.687999,-40.501,90.0,top,R16,AC0603FR-07590RL,0603,R_0603,590R,smt
81.829,-114.3,180.0,top,R17,AC0603FR-7W1KL,0603,R_0603,1K,smt
55.511,-49.149,0.0,top,R18,AC0603FR-07453KL,0603,R_0603,453K,smt
54.483,-40.501,90.0,top,R19,AC0603FR-7W1ML,0603,R_0603,1M,smt
50.8,-87.122,-90.0,top,R2,AC0603FR-7W100KL,0603,R_0603,100K,smt
56.134,-40.501,-90.0,top,R20,AC0603FR-07137KL,0603,R_0603,137R,smt
44.958,-93.218,90.0,top,R21,AC0603FR-7W330RL,0603,R_0603,330R,smt
43.7,-161.036,180.0,top,R22,AC0603FR-7W10KL,0603,R_0603,10K,smt
69.469,-99.58,-90.0,top,R23,AC0603FR-7W10KL,0603,R_0603,10K,smt
80.264,-102.362,-90.0,top,R24,AC0603FR-7W100KL,0603,R_0603,100K,smt
79.375,-93.599,90.0,top,R25,AC0603FR-7W100KL,0603,R_0603,100K,smt
40.767,-161.544,-90.0,top,R26,AC0603FR-07590RL,0603,R_0603,590R,smt
48.653,-161.036,0.0,top,R27,AC0603FR-7W100KL,0603,R_0603,100K,smt
61.099,-160.655,0.0,top,R28,AC0603FR-7W1ML,0603,R_0603,1M,smt
75.946,-160.655,0.0,top,R29,AC0603FR-7W1ML,0603,R_0603,1M,smt
52.959,-60.706,0.0,top,R3,AC0603FR-7W120RL,0603,R_0603,120R,smt
90.69,-160.655,0.0,top,R30,AC0603FR-7W1ML,0603,R_0603,1M,smt
53.721,-161.405,90.0,top,R31,AC0603FR-07137KL,0603,R_0603,137R,smt
55.753,-161.405,-90.0,top,R32,AC0603FR-07590RL,0603,R_0603,590R,smt
