Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer,LCSC,Type,Dielectric,Voltage,Tolerance,Mouser PN,Voltage Rating,PROD_ID,Color,MF,Description_1,Price,Check_prices,SnapEDA_Link,MP,Availability,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,STANDARD,PARTREV,Purchase-URL,SNAPEDA_PN,Series
R18,1,453K,R_0603,0603,AC0603FR-07453KL,Yes,smt,453kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C227908,SMD,,,,603-AC0603FR-07453KL,1% 100mW,,,,,,,,,,,,,,,,
R19,1,1M,R_0603,0603,AC0603FR-7W1ML,Yes,smt,200mW 1MΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C20142017,SMD,,,,603-AC0603FR-7W1ML,1% 100mW,,,,,,,,,,,,,,,,
R2,1,100K,R_0603,0603,AC0603FR-7W100KL,Yes,smt,200mW 100kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C5552302,SMD,,,,603-AC0603FR-7W100KL,1% 100mW,,,,,,,,,,,,,,,,
R20,1,137R,R_0603,0603,AC0603FR-07137KL,Yes,smt,137kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C227579,SMD,,,,603-AC0603FR-07137KL,1% 100mW,,,,,,,,,,,,,,,,
R21,1,330R,R_0603,0603,AC0603FR-7W330RL,Yes,smt,330Ω ±1% 200mW 0603 Thick Film Resistor,YAGEO,C513549,SMD,,,,603-AC0603FR-7W330RL,1% 100mW,,,,,,,,,,,,,,,,
R22,1,10K,R_0603,0603,AC0603FR-7W10KL,Yes,smt,10kΩ 200mW Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C20142011,SMD,,,,603-AC0603FR-7W10KL,1% 100mW,,,,,,,,,,,,,,,,
R23,1,10K,R_0603,0603,AC0603FR-7W10KL,Yes,smt,10kΩ 200mW Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C20142011,SMD,,,,603-AC0603FR-7W10KL,1% 100mW,,,,,,,,,,,,,,,,
R24,1,100K,R_0603,0603,AC0603FR-7W100KL,Yes,smt,200mW 100kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C5552302,SMD,,,,603-AC0603FR-7W100KL,1% 100mW,,,,,,,,,,,,,,,,
R25,1,100K,R_0603,0603,AC0603FR-7W100KL,Yes,smt,200mW 100kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C5552302,SMD,,,,603-AC0603FR-7W100KL,1% 100mW,,,,,,,,,,,,,,,,
R26,1,590R,R_0603,0603,AC0603FR-07590RL,Yes,smt,590Ω 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C227973,SMD,,,,603-AC0603FR-07590RL,1% 100mW,,,,,,,,,,,,,,,,
R27,1,100K,R_0603,0603,AC0603FR-7W100KL,Yes,smt,200mW 100kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C5552302,SMD,,,,603-AC0603FR-7W100KL,1% 100mW,,,,,,,,,,,,,,,,
R28,1,1M,R_0603,0603,AC0603FR-7W1ML,Yes,smt,200mW 1MΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C20142017,SMD,,,,603-AC0603FR-7W1ML,1% 100mW,,,,,,,,,,,,,,,,
R29,1,1M,R_0603,0603,AC0603FR-7W1ML,Yes,smt,200mW 1MΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C20142017,SMD,,,,603-AC0603FR-7W1ML,1% 100mW,,,,,,,,,,,,,,,,
R3,1,120R,R_0603,0603,AC0603FR-7W120RL,Yes,smt,200mW 120Ω Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YAGEO,C5552306,SMD,,,,603-AC0603FR-7W120RL,250mW,,,,,,,,,,,,,,,,
